ID,Name,Age,Salary,Experience,Department
1,Elijah,37,41624,27,Sales
2,Olivia,,32971,1,HR
3,Sophia,32,73881,27,Sales
4,Noah,25,110157,13,IT
5,Elijah,44,100639,3,IT
6,Charlotte,52,83540,18,IT
7,Liam,,141664,13,Sales
8,Elijah,26,,23,Sales
9,Sophia,48,96345,22,Sales
10,Noah,50,83213,11,Marketing
11,Olivia,34,56221,28,HR
12,Sophia,56,105675,23,HR
13,Sophia,30,,10,Marketing
14,Liam,39,,1,Marketing
15,Ava,36,69673,25,Sales
16,Noah,45,,18,Marketing
17,Emma,52,80548,27,Marketing
18,Sophia,28,,21,IT
19,Ava,30,60715,17,HR
20,Emma,37,,5,Sales
21,Noah,55,119718,23,Marketing
22,John,53,146934,11,Sales
23,Charlotte,44,,16,IT
24,Ava,41,32740,9,HR
25,James,57,61442,14,Sales
26,John,30,37144,8,Sales
27,Charlotte,,132752,10,Marketing
28,Liam,41,104677,8,IT
29,Elijah,34,66961,13,IT
30,Olivia,38,91298,33,IT
31,James,43,77723,30,Sales
32,Liam,26,79880,15,Sales
33,Noah,57,49998,16,Finance
34,Liam,53,51286,20,Sales
35,Elijah,50,81900,3,HR
36,Noah,33,40983,16,IT
37,James,56,84777,12,Sales
38,Elijah,,41464,16,Sales
39,Emma,38,50133,7,Marketing
40,Olivia,42,77190,34,Sales
41,James,,,25,Sales
42,Emma,30,,28,IT
43,Charlotte,35,121613,34,Marketing
44,James,45,68149,29,Sales
45,Charlotte,34,147495,2,Sales
46,Noah,56,44639,5,IT
47,Emma,37,70845,23,Marketing
48,Olivia,25,136719,5,Marketing
49,Elijah,24,126452,24,Marketing
50,Sophia,55,101242,31,Sales
51,Liam,36,146423,26,IT
52,John,52,36875,17,Marketing
53,Olivia,22,,30,IT
54,Emma,22,,25,HR
55,Sophia,54,108935,21,Sales
56,Olivia,,,12,IT
57,Emma,22,58607,17,IT
58,Ava,37,138081,15,Sales
59,Ava,58,65091,26,HR
60,Charlotte,56,48223,26,Marketing
61,Olivia,29,34368,22,HR
62,Ava,56,143807,34,Sales
63,Emma,23,60392,31,IT
64,Charlotte,,62987,13,HR
65,Emma,31,126617,21,Marketing
66,Charlotte,31,125715,15,IT
67,Olivia,33,102777,10,Sales
68,Sophia,45,148366,32,Finance
69,Elijah,43,32475,29,Finance
70,James,,115775,22,Sales
71,Sophia,43,82966,15,Finance
72,Noah,,141509,19,Finance
73,Emma,39,108108,19,Finance
74,Noah,51,78793,31,Sales
75,Sophia,54,118051,34,HR
76,Charlotte,43,83334,5,IT
77,James,,70266,23,IT
78,James,59,105439,5,Sales
79,John,59,107833,33,HR
80,James,32,58578,13,Finance
81,Elijah,28,63901,2,Sales
82,James,45,63718,12,Finance
83,Sophia,29,82089,13,Marketing
84,John,33,122915,20,Sales
85,Sophia,31,108052,18,Marketing
86,Sophia,32,131684,31,IT
87,Liam,41,128939,13,Marketing
88,John,59,79895,10,Finance
89,Sophia,44,33946,1,Sales
90,Liam,43,,27,Sales
